step,velocity_steps_per_s,time_s
301,207.3796,2.710997
302,208.6548,2.71579
303,209.9328,2.720553
304,211.2136,2.725288
305,212.4974,2.729994
306,213.7839,2.734671
307,215.0733,2.739321
308,216.3655,2.743943
309,217.6605,2.748537
310,218.9583,2.753104
311,220.2589,2.757644
312,221.5622,2.762158
313,222.8683,2.766644
314,224.1771,2.771105
315,225.4886,2.77554
316,226.8028,2.779949
317,228.1198,2.784333
318,229.4394,2.788691
319,230.7617,2.793025
320,232.0866,2.797333
321,233.4142,2.801618
322,234.7444,2.805878
323,236.0772,2.810114
324,237.4127,2.814326
325,238.7507,2.818514
326,240.0913,2.822679
327,241.4345,2.826821
328,242.7802,2.83094
329,244.1285,2.835036
330,245.4793,2.83911
331,246.8326,2.843161
332,248.1884,2.84719
333,249.5467,2.851198
334,250.9074,2.855183
335,252.2707,2.859147
336,253.6363,2.86309
337,255.0044,2.867011
338,256.3749,2.870912
339,257.7479,2.874792
340,259.1232,2.878651
341,260.5008,2.88249
342,261.8809,2.886308
343,263.2633,2.890107
344,264.648,2.893885
345,266.0351,2.897644
346,267.4245,2.901384
347,268.8161,2.905104
348,270.2101,2.908804
349,271.6063,2.912486
350,273.0048,2.916149
351,274.4055,2.919793
352,275.8084,2.923419
353,277.2135,2.927026
354,278.6209,2.930615
355,280.0304,2.934187
356,281.4421,2.93774
357,282.856,2.941275
358,284.272,2.944793
359,285.6901,2.948293
360,287.1104,2.951776
361,288.5327,2.955242
362,289.9571,2.958691
363,291.3836,2.962123
364,292.8122,2.965538
365,294.2428,2.968936
366,295.6755,2.972318
367,297.1101,2.975684
368,298.5468,2.979034
369,299.9854,2.982367
370,301.4261,2.985685
371,302.8686,2.988986
372,304.3132,2.992273
373,305.7596,2.995543
374,307.208,2.998798
375,308.6583,3.002038
376,310.1105,3.005263
377,311.5645,3.008472
378,313.0204,3.011667
379,314.4781,3.014847
380,315.9377,3.018012
381,317.3991,3.021163
382,318.8623,3.024299
383,320.3273,3.027421
384,321.7941,3.030528
385,323.2626,3.033622
386,324.7328,3.036701
387,326.2048,3.039767
388,327.6785,3.042818
389,329.1539,3.045857
390,330.631,3.048881
391,332.1098,3.051892
392,333.5902,3.05489
393,335.0723,3.057874
394,336.556,3.060846
395,338.0413,3.063804
396,339.5282,3.066749
397,341.0167,3.069681
398,342.5067,3.072601
399,343.9984,3.075508
400,345.4915,3.078402
401,346.9862,3.081284
402,348.4824,3.084154
403,349.98,3.087011
404,351.4792,3.089856
405,352.9798,3.092689
406,354.4819,3.09551
407,355.9854,3.09832
408,357.4904,3.101117
409,358.9967,3.103902
410,360.5044,3.106676
411,362.0136,3.109439
412,363.524,3.112189
413,365.0359,3.114929
414,366.549,3.117657
415,368.0635,3.120374
416,369.5792,3.12308
417,371.0963,3.125774
418,372.6146,3.128458
419,374.1342,3.131131
420,375.6551,3.133793
421,377.1771,3.136444
422,378.7004,3.139085
423,380.2249,3.141715
424,381.7505,3.144335
425,383.2773,3.146944
426,384.8053,3.149542
427,386.3344,3.152131
428,387.8646,3.154709
429,389.396,3.157277
430,390.9284,3.159835
431,392.4619,3.162383
432,393.9964,3.164921
433,395.5321,3.167449
434,397.0687,3.169968
435,398.6064,3.172477
436,400.145,3.174976
437,401.6847,3.177465
438,403.2253,3.179945
439,404.7668,3.182416
440,406.3093,3.184877
441,407.8528,3.187329
442,409.3971,3.189771
443,410.9424,3.192205
444,412.4885,3.194629
445,414.0354,3.197044
446,415.5833,3.199451
447,417.1319,3.201848
448,418.6814,3.204236
449,420.2317,3.206616
450,421.7828,3.208987
451,423.3346,3.211349
452,424.8872,3.213703
453,426.4405,3.216048
454,427.9946,3.218384
455,429.5494,3.220712
456,431.1049,3.223032
457,432.661,3.225343
458,434.2178,3.227646
459,435.7753,3.229941
460,437.3334,3.232227
461,438.8921,3.234506
462,440.4514,3.236776
463,442.0113,3.239039
464,443.5718,3.241293
465,445.1328,3.24354
466,446.6944,3.245778
467,448.2565,3.248009
468,449.8191,3.250232
469,451.3823,3.252448
470,452.9458,3.254655
471,454.5099,3.256856
472,456.0744,3.259048
473,457.6393,3.261233
474,459.2047,3.263411
475,460.7705,3.265581
476,462.3366,3.267744
477,463.9031,3.2699
478,465.47,3.272048
479,467.0372,3.274189
480,468.6047,3.276323
481,470.1726,3.27845
482,471.7407,3.28057
483,473.3092,3.282683
484,474.8778,3.284789
485,476.4468,3.286888
486,478.0159,3.28898
487,479.5853,3.291065
488,481.1549,3.293143
489,482.7247,3.295215
490,484.2946,3.297279
491,485.8647,3.299338
492,487.435,3.301389
493,489.0053,3.303434
494,490.5758,3.305473
495,492.1463,3.307505
496,493.717,3.30953
497,495.2877,3.311549
498,496.8584,3.313562
499,498.4292,3.315568
500,500.0,3.317568
501,501.5708,3.319562
502,503.1416,3.321549
503,504.7123,3.323531
504,506.283,3.325506
505,507.8537,3.327475
506,509.4242,3.329438
507,510.9947,3.331395
508,512.565,3.333346
509,514.1353,3.335291
510,515.7054,3.33723
511,517.2753,3.339163
512,518.8451,3.34109
513,520.4147,3.343012
514,521.9841,3.344928
515,523.5532,3.346838
516,525.1222,3.348742
517,526.6908,3.350641
518,528.2593,3.352534
519,529.8274,3.354421
520,531.3953,3.356303
521,532.9628,3.358179
522,534.53,3.36005
523,536.0969,3.361915
524,537.6634,3.363775
525,539.2295,3.36563
526,540.7953,3.367479
527,542.3607,3.369323
528,543.9256,3.371161
529,545.4901,3.372994
530,547.0542,3.374822
531,548.6177,3.376645
532,550.1809,3.378463
533,551.7435,3.380275
534,553.3056,3.382082
535,554.8672,3.383885
536,556.4282,3.385682
537,557.9887,3.387474
538,559.5486,3.389261
539,561.1079,3.391043
540,562.6666,3.392821
541,564.2247,3.394593
542,565.7822,3.39636
543,567.339,3.398123
544,568.8951,3.399881
545,570.4506,3.401634
546,572.0054,3.403382
547,573.5595,3.405126
548,575.1128,3.406864
549,576.6654,3.408598
550,578.2172,3.410328
551,579.7683,3.412053
552,581.3186,3.413773
553,582.8681,3.415489
554,584.4167,3.4172
555,585.9646,3.418906
556,587.5115,3.420608
557,589.0576,3.422306
558,590.6029,3.423999
559,592.1472,3.425688
560,593.6907,3.427372
561,595.2332,3.429052
562,596.7747,3.430728
563,598.3153,3.432399
564,599.855,3.434067
565,601.3936,3.435729
566,602.9313,3.437388
567,604.4679,3.439042
568,606.0036,3.440692
569,607.5381,3.442338
570,609.0716,3.44398
571,610.604,3.445618
572,612.1354,3.447252
573,613.6656,3.448881
574,615.1947,3.450507
575,616.7227,3.452128
576,618.2495,3.453746
577,619.7751,3.455359
578,621.2996,3.456969
579,622.8229,3.458574
580,624.3449,3.460176
581,625.8658,3.461774
582,627.3854,3.463368
583,628.9037,3.464958
584,630.4208,3.466544
585,631.9365,3.468126
586,633.451,3.469705
587,634.9641,3.47128
588,636.476,3.472851
589,637.9864,3.474418
590,639.4956,3.475982
591,641.0033,3.477542
592,642.5096,3.479099
593,644.0146,3.480651
594,645.5181,3.482201
595,647.0202,3.483746
596,648.5208,3.485288
597,650.02,3.486826
598,651.5176,3.488361
599,653.0138,3.489893
600,654.5085,3.491421
601,656.0016,3.492945
602,657.4933,3.494466
603,658.9833,3.495983
604,660.4718,3.497497
605,661.9587,3.499008
606,663.444,3.500515
607,664.9277,3.502019
608,666.4098,3.50352
609,667.8902,3.505017
610,669.369,3.506511
611,670.8461,3.508002
612,672.3215,3.509489
613,673.7952,3.510973
614,675.2672,3.512454
615,676.7374,3.513932
616,678.2059,3.515406
617,679.6727,3.516878
618,681.1377,3.518346
619,682.6009,3.519811
620,684.0623,3.521273
621,685.5219,3.522731
622,686.9796,3.524187
623,688.4355,3.52564
624,689.8895,3.527089
625,691.3417,3.528535
626,692.792,3.529979
627,694.2404,3.531419
628,695.6868,3.532857
629,697.1314,3.534291
630,698.5739,3.535723
631,700.0146,3.537151
632,701.4532,3.538577
633,702.8899,3.54
634,704.3245,3.541419
635,705.7572,3.542836
636,707.1878,3.54425
637,708.6164,3.545662
638,710.0429,3.54707
639,711.4673,3.548475
640,712.8896,3.549878
641,714.3099,3.551278
642,715.728,3.552675
643,717.144,3.55407
644,718.5579,3.555461
645,719.9696,3.55685
646,721.3791,3.558237
647,722.7865,3.55962
648,724.1916,3.561001
649,725.5945,3.562379
650,726.9952,3.563755
651,728.3937,3.565128
652,729.7899,3.566498
653,731.1839,3.567865
654,732.5755,3.569231
655,733.9649,3.570593
656,735.352,3.571953
657,736.7367,3.57331
658,738.1191,3.574665
659,739.4992,3.576017
660,740.8768,3.577367
661,742.2521,3.578714
662,743.6251,3.580059
663,744.9956,3.581401
664,746.3637,3.582741
665,747.7293,3.584079
666,749.0926,3.585413
667,750.4533,3.586746
668,751.8116,3.588076
669,753.1674,3.589404
670,754.5207,3.590729
671,755.8715,3.592052
672,757.2198,3.593373
673,758.5655,3.594691
674,759.9087,3.596007
675,761.2493,3.597321
676,762.5873,3.598632
677,763.9228,3.599941
678,765.2556,3.601248
679,766.5858,3.602552
680,767.9134,3.603854
681,769.2383,3.605154
682,770.5606,3.606452
683,771.8802,3.607748
684,773.1972,3.609041
685,774.5114,3.610332
686,775.8229,3.611621
687,777.1317,3.612908
688,778.4378,3.614193
689,779.7411,3.615475
690,781.0417,3.616755
691,782.3395,3.618034
692,783.6345,3.61931
693,784.9267,3.620584
694,786.2161,3.621856
695,787.5026,3.623125
696,788.7864,3.624393
697,790.0672,3.625659
698,791.3452,3.626923
699,792.6204,3.628184
700,793.8926,3.629444
701,795.162,3.630702
702,796.4284,3.631957
703,797.6919,3.633211
704,798.9525,3.634462
705,800.2101,3.635712
706,801.4648,3.63696
707,802.7165,3.638206
708,803.9651,3.639449
709,805.2108,3.640691
710,806.4535,3.641931
711,807.6932,3.643169
712,808.9298,3.644406
713,810.1634,3.64564
714,811.3939,3.646872
715,812.6213,3.648103
716,813.8457,3.649332
717,815.0669,3.650559
718,816.2851,3.651784
719,817.5001,3.653007
720,818.712,3.654228
721,819.9207,3.655448
722,821.1263,3.656666
723,822.3287,3.657882
724,823.528,3.659096
725,824.724,3.660309
726,825.9169,3.661519
727,827.1065,3.662728
728,828.2929,3.663936
729,829.476,3.665141
730,830.6559,3.666345
731,831.8326,3.667547
732,833.0059,3.668748
733,834.176,3.669947
734,835.3428,3.671144
735,836.5063,3.672339
736,837.6664,3.673533
737,838.8232,3.674725
738,839.9767,3.675916
739,841.1268,3.677105
740,842.2736,3.678292
741,843.4169,3.679477
742,844.5569,3.680661
743,845.6935,3.681844
744,846.8267,3.683025
745,847.9564,3.684204
746,849.0827,3.685382
747,850.2056,3.686558
748,851.325,3.687733
749,852.4409,3.688906
750,853.5534,3.690077
751,854.6624,3.691247
752,855.7678,3.692416
753,856.8698,3.693583
754,857.9682,3.694749
755,859.0631,3.695913
756,860.1545,3.697075
757,861.2423,3.698236
758,862.3266,3.699396
759,863.4072,3.700554
760,864.4843,3.701711
761,865.5578,3.702866
762,866.6277,3.70402
763,867.6939,3.705173
764,868.7566,3.706324
765,869.8155,3.707473
766,870.8709,3.708622
767,871.9226,3.709769
768,872.9706,3.710914
769,874.0149,3.712058
770,875.0555,3.713201
771,876.0925,3.714342
772,877.1257,3.715482
773,878.1552,3.716621
774,879.181,3.717759
775,880.203,3.718895
776,881.2213,3.72003
777,882.2358,3.721163
778,883.2465,3.722295
779,884.2535,3.723426
780,885.2566,3.724556
781,886.256,3.725684
782,887.2515,3.726811
783,888.2433,3.727937
784,889.2312,3.729062
785,890.2152,3.730185
786,891.1954,3.731307
787,892.1717,3.732428
788,893.1442,3.733547
789,894.1128,3.734666
790,895.0775,3.735783
791,896.0383,3.736899
792,896.9952,3.738014
793,897.9482,3.739128
794,898.8972,3.74024
795,899.8423,3.741351
796,900.7835,3.742462
797,901.7207,3.743571
798,902.6539,3.744678
799,903.5832,3.745785
800,904.5085,3.746891
801,905.4298,3.747995
802,906.3471,3.749098
803,907.2604,3.750201
804,908.1696,3.751302
805,909.0749,3.752402
806,909.9761,3.753501
807,910.8732,3.754599
808,911.7663,3.755695
809,912.6553,3.756791
810,913.5403,3.757886
811,914.4212,3.758979
812,915.2979,3.760072
813,916.1706,3.761163
814,917.0392,3.762254
815,917.9037,3.763343
816,918.764,3.764432
817,919.6202,3.765519
818,920.4723,3.766605
819,921.3202,3.767691
820,922.164,3.768775
821,923.0036,3.769859
822,923.839,3.770941
823,924.6702,3.772023
824,925.4972,3.773103
825,926.3201,3.774183
826,927.1387,3.775261
827,927.9531,3.776339
828,928.7633,3.777416
829,929.5693,3.778491
830,930.371,3.779566
831,931.1685,3.78064
832,931.9617,3.781713
833,932.7507,3.782785
834,933.5354,3.783856
835,934.3158,3.784927
836,935.0919,3.785996
837,935.8637,3.787065
838,936.6312,3.788132
839,937.3944,3.789199
840,938.1533,3.790265
841,938.9079,3.79133
842,939.6582,3.792394
843,940.4041,3.793458
844,941.1456,3.79452
845,941.8828,3.795582
846,942.6157,3.796643
847,943.3441,3.797703
848,944.0682,3.798762
849,944.7879,3.79982
850,945.5033,3.800878
851,946.2142,3.801935
852,946.9207,3.802991
853,947.6228,3.804046
854,948.3205,3.805101
855,949.0138,3.806155
856,949.7026,3.807207
857,950.387,3.80826
858,951.067,3.809311
859,951.7425,3.810362
860,952.4135,3.811412
861,953.0801,3.812461
862,953.7422,3.81351
863,954.3998,3.814557
864,955.053,3.815604
865,955.7016,3.816651
866,956.3458,3.817696
867,956.9854,3.818741
868,957.6206,3.819786
869,958.2512,3.820829
870,958.8773,3.821872
871,959.4989,3.822914
872,960.1159,3.823956
873,960.7284,3.824997
874,961.3364,3.826037
875,961.9398,3.827076
876,962.5386,3.828115
877,963.1329,3.829154
878,963.7226,3.830191
879,964.3077,3.831228
880,964.8882,3.832265
881,965.4642,3.8333
882,966.0356,3.834336
883,966.6023,3.83537
884,967.1645,3.836404
885,967.722,3.837437
886,968.2749,3.83847
887,968.8232,3.839502
888,969.3669,3.840534
889,969.906,3.841565
890,970.4404,3.842595
891,970.9702,3.843625
892,971.4953,3.844655
893,972.0157,3.845684
894,972.5315,3.846712
895,973.0427,3.847739
896,973.5492,3.848767
897,974.051,3.849793
898,974.5481,3.850819
899,975.0405,3.851845
900,975.5283,3.85287
901,976.0113,3.853895
902,976.4897,3.854919
903,976.9633,3.855942
904,977.4323,3.856965
905,977.8965,3.857988
906,978.356,3.85901
907,978.8108,3.860032
908,979.2609,3.861053
909,979.7062,3.862074
910,980.1468,3.863094
911,980.5827,3.864114
912,981.0138,3.865133
913,981.4402,3.866152
914,981.8618,3.86717
915,982.2787,3.868189
916,982.6908,3.869206
917,983.0982,3.870223
918,983.5007,3.87124
919,983.8986,3.872256
920,984.2916,3.873272
921,984.6798,3.874288
922,985.0633,3.875303
923,985.442,3.876318
924,985.8159,3.877332
925,986.185,3.878346
926,986.5493,3.87936
927,986.9087,3.880373
928,987.2634,3.881386
929,987.6133,3.882399
930,987.9584,3.883411
931,988.2986,3.884423
932,988.6341,3.885434
933,988.9647,3.886445
934,989.2905,3.887456
935,989.6114,3.888467
936,989.9275,3.889477
937,990.2388,3.890487
938,990.5453,3.891496
939,990.8469,3.892505
940,991.1436,3.893514
941,991.4355,3.894523
942,991.7226,3.895531
943,992.0048,3.896539
944,992.2822,3.897547
945,992.5547,3.898555
946,992.8223,3.899562
947,993.0851,3.900569
948,993.343,3.901576
949,993.596,3.902582
950,993.8442,3.903588
951,994.0875,3.904594
952,994.3259,3.9056
953,994.5594,3.906605
954,994.7881,3.907611
955,995.0118,3.908616
956,995.2307,3.90962
957,995.4447,3.910625
958,995.6538,3.911629
959,995.858,3.912634
960,996.0574,3.913637
961,996.2518,3.914641
962,996.4413,3.915645
963,996.6259,3.916648
964,996.8057,3.917651
965,996.9805,3.918654
966,997.1504,3.919657
967,997.3154,3.92066
968,997.4755,3.921663
969,997.6307,3.922665
970,997.781,3.923667
971,997.9264,3.924669
972,998.0668,3.925671
973,998.2023,3.926673
974,998.333,3.927675
975,998.4587,3.928676
976,998.5795,3.929678
977,998.6953,3.930679
978,998.8063,3.93168
979,998.9123,3.932681
980,999.0134,3.933682
981,999.1095,3.934683
982,999.2008,3.935684
983,999.2871,3.936685
984,999.3685,3.937685
985,999.4449,3.938686
986,999.5165,3.939686
987,999.5831,3.940687
988,999.6447,3.941687
989,999.7015,3.942687
990,999.7533,3.943688
991,999.8002,3.944688
992,999.8421,3.945688
993,999.8791,3.946688
994,999.9112,3.947688
995,999.9383,3.948688
996,999.9605,3.949688
997,999.9778,3.950688
998,999.9901,3.951688
999,999.9975,3.952688
1000,1000.0,3.953688
1001,1000.0,3.954688
1002,1000.0,3.955688
1003,1000.0,3.956688
1004,1000.0,3.957688
1005,1000.0,3.958688
1006,1000.0,3.959688
1007,1000.0,3.960688
1008,1000.0,3.961688
